bank_utr,pg_order_id,credit_amount_paise,timestamp_utc
UTR_ICICI_9001,pay_RZP_5001,4140425,2026-08-22T11:00:00
UTR_ICICI_9002,pay_RZP_5002,208852,2026-08-22T12:23:00
UTR_ICICI_9003,pay_RZP_5003,1615845,2026-08-22T11:57:00
UTR_ICICI_9004,pay_RZP_5004,941641,2026-08-22T10:55:00
UTR_ICICI_9005,pay_RZP_5005,4378959,2026-08-22T14:42:00
UTR_ICICI_9006,pay_RZP_5006,605076,2026-08-22T13:39:00
UTR_ICICI_9008,pay_RZP_5008,648330,2026-08-22T11:54:00
UTR_ICICI_9009,pay_RZP_5009,1537538,2026-08-22T14:21:00
UTR_ICICI_9010,pay_RZP_5010,3901011,2026-08-22T10:16:00
UTR_ICICI_9011,pay_RZP_5011,3640117,2026-08-22T11:44:00
UTR_ICICI_9012,pay_RZP_5012,4630577,2026-08-22T14:42:00
UTR_ICICI_9013,pay_RZP_5013,2733237,2026-08-22T11:55:00
UTR_ICICI_9015,pay_RZP_5015,90317,2026-08-22T11:24:00
UTR_ICICI_9016,pay_RZP_5016,4516143,2026-08-22T13:39:00
UTR_ICICI_9017,pay_RZP_5017,2225997,2026-08-22T12:25:00
UTR_ICICI_9018,pay_RZP_5018,1043674,2026-08-22T11:53:00
UTR_ICICI_9019,pay_RZP_5019,2202661,2026-08-22T10:55:00
UTR_ICICI_9020,pay_RZP_5020,642276,2026-08-22T13:17:00
UTR_ICICI_9022,pay_RZP_5022,2249724,2026-08-22T12:18:00
UTR_ICICI_9023,pay_RZP_5023,326802,2026-08-22T13:58:00
UTR_ICICI_9024,pay_RZP_5024,3480085,2026-08-22T11:06:00
UTR_ICICI_9025,pay_RZP_5025,2470976,2026-08-22T10:43:00
UTR_ICICI_9026,pay_RZP_5026,3581240,2026-08-22T12:33:00
UTR_ICICI_9027,pay_RZP_5027,4071393,2026-08-22T13:08:00
UTR_ICICI_9029,pay_RZP_5029,4557250,2026-08-22T10:38:00
UTR_ICICI_9030,pay_RZP_5030,342033,2026-08-22T11:59:00
UTR_ICICI_9031,pay_RZP_5031,1900563,2026-08-22T10:43:00
UTR_ICICI_9032,pay_RZP_5032,1538416,2026-08-22T10:54:00
UTR_ICICI_9033,pay_RZP_5033,2481131,2026-08-22T12:25:00
UTR_ICICI_9034,pay_RZP_5034,2950095,2026-08-22T13:09:00
UTR_ICICI_9036,pay_RZP_5036,2322173,2026-08-22T11:50:00
UTR_ICICI_9037,pay_RZP_5037,4337169,2026-08-22T12:19:00
UTR_ICICI_9038,pay_RZP_5038,4539675,2026-08-22T10:39:00
UTR_ICICI_9039,pay_RZP_5039,3946609,2026-08-22T11:30:00
UTR_ICICI_9040,pay_RZP_5040,3466709,2026-08-22T12:08:00
UTR_ICICI_9041,pay_RZP_5041,1094350,2026-08-22T13:59:00
UTR_ICICI_9043,pay_RZP_5043,4144135,2026-08-22T14:48:00
UTR_ICICI_9044,pay_RZP_5044,1454055,2026-08-22T12:49:00
UTR_ICICI_9045,pay_RZP_5045,406671,2026-08-22T12:00:00
UTR_ICICI_9046,pay_RZP_5046,254157,2026-08-22T12:44:00
UTR_ICICI_9047,pay_RZP_5047,2615776,2026-08-22T12:20:00
UTR_ICICI_9048,pay_RZP_5048,472285,2026-08-22T11:51:00
UTR_ICICI_9050,pay_RZP_5050,1409336,2026-08-22T14:18:00
