order_id,customer_id,base_amount_paise,timestamp_utc
ORD_1001,CUST_1,4240500,2026-08-22T10:58:00
ORD_1002,CUST_2,213900,2026-08-22T12:21:00
ORD_1003,CUST_3,1654900,2026-08-22T11:55:00
ORD_1004,CUST_4,964400,2026-08-22T10:53:00
ORD_1005,CUST_5,4484800,2026-08-22T14:40:00
ORD_1006,CUST_6,619700,2026-08-22T13:37:00
ORD_1007,CUST_7,258200,2026-08-22T10:16:00
ORD_1008,CUST_8,664000,2026-08-22T11:52:00
ORD_1009,CUST_9,1574700,2026-08-22T14:19:00
ORD_1010,CUST_10,3995300,2026-08-22T10:14:00
ORD_1011,CUST_11,3728100,2026-08-22T11:42:00
ORD_1012,CUST_12,4742500,2026-08-22T14:40:00
ORD_1013,CUST_13,2799300,2026-08-22T11:53:00
ORD_1014,CUST_14,2993900,2026-08-22T12:23:00
ORD_1015,CUST_15,92500,2026-08-22T11:22:00
ORD_1016,CUST_16,4625300,2026-08-22T13:37:00
ORD_1017,CUST_17,2279800,2026-08-22T12:23:00
ORD_1018,CUST_18,1068900,2026-08-22T11:51:00
ORD_1019,CUST_19,2255900,2026-08-22T10:53:00
ORD_1020,CUST_20,657800,2026-08-22T13:15:00
ORD_1021,CUST_21,683800,2026-08-22T13:04:00
ORD_1022,CUST_22,2304100,2026-08-22T12:16:00
ORD_1023,CUST_23,334700,2026-08-22T13:56:00
ORD_1024,CUST_24,3564200,2026-08-22T11:04:00
ORD_1025,CUST_25,2530700,2026-08-22T10:41:00
ORD_1026,CUST_26,3667800,2026-08-22T12:31:00
ORD_1027,CUST_27,4169800,2026-08-22T13:06:00
ORD_1028,CUST_28,3833700,2026-08-22T11:39:00
ORD_1029,CUST_29,4667400,2026-08-22T10:36:00
ORD_1030,CUST_30,350300,2026-08-22T11:57:00
ORD_1031,CUST_31,1946500,2026-08-22T10:41:00
ORD_1032,CUST_32,1575600,2026-08-22T10:52:00
ORD_1033,CUST_33,2541100,2026-08-22T12:23:00
ORD_1034,CUST_34,3021400,2026-08-22T13:07:00
ORD_1035,CUST_35,1115900,2026-08-22T13:10:00
ORD_1036,CUST_36,2378300,2026-08-22T11:48:00
ORD_1037,CUST_37,4442000,2026-08-22T12:17:00
ORD_1038,CUST_38,4649400,2026-08-22T10:37:00
ORD_1039,CUST_39,4042000,2026-08-22T11:28:00
ORD_1040,CUST_40,3550500,2026-08-22T12:06:00
ORD_1041,CUST_41,1120800,2026-08-22T13:57:00
ORD_1042,CUST_42,2536700,2026-08-22T12:19:00
ORD_1043,CUST_43,4244300,2026-08-22T14:46:00
ORD_1044,CUST_44,1489200,2026-08-22T12:47:00
ORD_1045,CUST_45,416500,2026-08-22T11:58:00
ORD_1046,CUST_46,260300,2026-08-22T12:42:00
ORD_1047,CUST_47,2679000,2026-08-22T12:18:00
ORD_1048,CUST_48,483700,2026-08-22T11:49:00
ORD_1049,CUST_49,3767000,2026-08-22T12:42:00
ORD_1050,CUST_50,1443400,2026-08-22T14:16:00
