pg_order_id,ref_order_id,base_amount_paise,fee_paise,tax_paise,net_payout_paise,timestamp_utc
pay_RZP_5001,ORD_1001,4240500,84810,15265,4140425,2026-08-22T10:58:12
pay_RZP_5002,ORD_1002,213900,4278,770,208852,2026-08-22T12:21:12
pay_RZP_5003,ORD_1003,1654900,33098,5957,1615845,2026-08-22T11:55:12
pay_RZP_5004,ORD_1004,964400,19288,3471,941641,2026-08-22T10:53:12
pay_RZP_5005,ORD_1005_ERR,4484800,89696,16145,4378959,2026-08-22T14:40:12
pay_RZP_5006,ORD_1006,619700,12394,2230,605076,2026-08-22T13:37:12
pay_RZP_5008,ORD_1008,664000,13280,2390,648330,2026-08-22T11:52:12
pay_RZP_5009,ORD_1009,1574700,31494,5668,1537538,2026-08-22T14:19:12
pay_RZP_5010,ORD_1010_ERR,3995300,79906,14383,3901011,2026-08-22T10:14:12
pay_RZP_5011,ORD_1011,3728100,74562,13421,3640117,2026-08-22T11:42:12
pay_RZP_5012,ORD_1012,4742500,94850,17073,4630577,2026-08-22T14:40:12
pay_RZP_5013,ORD_1013,2799300,55986,10077,2733237,2026-08-22T11:53:12
pay_RZP_5015,ORD_1015_ERR,92500,1850,333,90317,2026-08-22T11:22:12
pay_RZP_5016,ORD_1016,4625300,92506,16651,4516143,2026-08-22T13:37:12
pay_RZP_5017,ORD_1017,2279800,45596,8207,2225997,2026-08-22T12:23:12
pay_RZP_5018,ORD_1018,1068900,21378,3848,1043674,2026-08-22T11:51:12
pay_RZP_5019,ORD_1019,2255900,45118,8121,2202661,2026-08-22T10:53:12
pay_RZP_5020,ORD_1020_ERR,657800,13156,2368,642276,2026-08-22T13:15:12
pay_RZP_5022,ORD_1022,2304100,46082,8294,2249724,2026-08-22T12:16:12
pay_RZP_5023,ORD_1023,334700,6694,1204,326802,2026-08-22T13:56:12
pay_RZP_5024,ORD_1024,3564200,71284,12831,3480085,2026-08-22T11:04:12
pay_RZP_5025,ORD_1025_ERR,2530700,50614,9110,2470976,2026-08-22T10:41:12
pay_RZP_5026,ORD_1026,3667800,73356,13204,3581240,2026-08-22T12:31:12
pay_RZP_5027,ORD_1027,4169800,83396,15011,4071393,2026-08-22T13:06:12
pay_RZP_5029,ORD_1029,4667400,93348,16802,4557250,2026-08-22T10:36:12
pay_RZP_5030,ORD_1030_ERR,350300,7006,1261,342033,2026-08-22T11:57:12
pay_RZP_5031,ORD_1031,1946500,38930,7007,1900563,2026-08-22T10:41:12
pay_RZP_5032,ORD_1032,1575600,31512,5672,1538416,2026-08-22T10:52:12
pay_RZP_5033,ORD_1033,2541100,50822,9147,2481131,2026-08-22T12:23:12
pay_RZP_5034,ORD_1034,3021400,60428,10877,2950095,2026-08-22T13:07:12
pay_RZP_5036,ORD_1036,2378300,47566,8561,2322173,2026-08-22T11:48:12
pay_RZP_5037,ORD_1037,4442000,88840,15991,4337169,2026-08-22T12:17:12
pay_RZP_5038,ORD_1038,4649400,92988,16737,4539675,2026-08-22T10:37:12
pay_RZP_5039,ORD_1039,4042000,80840,14551,3946609,2026-08-22T11:28:12
pay_RZP_5040,ORD_1040_ERR,3550500,71010,12781,3466709,2026-08-22T12:06:12
pay_RZP_5041,ORD_1041,1120800,22416,4034,1094350,2026-08-22T13:57:12
pay_RZP_5043,ORD_1043,4244300,84886,15279,4144135,2026-08-22T14:46:12
pay_RZP_5044,ORD_1044,1489200,29784,5361,1454055,2026-08-22T12:47:12
pay_RZP_5045,ORD_1045_ERR,416500,8330,1499,406671,2026-08-22T11:58:12
pay_RZP_5046,ORD_1046,260300,5206,937,254157,2026-08-22T12:42:12
pay_RZP_5047,ORD_1047,2679000,53580,9644,2615776,2026-08-22T12:18:12
pay_RZP_5048,ORD_1048,483700,9674,1741,472285,2026-08-22T11:49:12
pay_RZP_5050,ORD_1050_ERR,1443400,28868,5196,1409336,2026-08-22T14:16:12
