order_id,pg_order_id,bank_utr,status,match_stage,discrepancy_paise,confidence_score,reasoning
ORD_1001,pay_RZP_5001,UTR_ICICI_9001,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1002,pay_RZP_5002,UTR_ICICI_9002,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1003,pay_RZP_5003,UTR_ICICI_9003,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1004,pay_RZP_5004,UTR_ICICI_9004,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1006,pay_RZP_5006,UTR_ICICI_9006,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1008,pay_RZP_5008,UTR_ICICI_9008,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1009,pay_RZP_5009,UTR_ICICI_9009,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1011,pay_RZP_5011,UTR_ICICI_9011,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1012,pay_RZP_5012,UTR_ICICI_9012,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1013,pay_RZP_5013,UTR_ICICI_9013,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1016,pay_RZP_5016,UTR_ICICI_9016,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1017,pay_RZP_5017,UTR_ICICI_9017,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1018,pay_RZP_5018,UTR_ICICI_9018,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1019,pay_RZP_5019,UTR_ICICI_9019,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1022,pay_RZP_5022,UTR_ICICI_9022,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1023,pay_RZP_5023,UTR_ICICI_9023,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1024,pay_RZP_5024,UTR_ICICI_9024,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1026,pay_RZP_5026,UTR_ICICI_9026,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1027,pay_RZP_5027,UTR_ICICI_9027,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1029,pay_RZP_5029,UTR_ICICI_9029,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1031,pay_RZP_5031,UTR_ICICI_9031,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1032,pay_RZP_5032,UTR_ICICI_9032,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1033,pay_RZP_5033,UTR_ICICI_9033,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1034,pay_RZP_5034,UTR_ICICI_9034,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1036,pay_RZP_5036,UTR_ICICI_9036,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1037,pay_RZP_5037,UTR_ICICI_9037,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1038,pay_RZP_5038,UTR_ICICI_9038,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1039,pay_RZP_5039,UTR_ICICI_9039,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1041,pay_RZP_5041,UTR_ICICI_9041,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1043,pay_RZP_5043,UTR_ICICI_9043,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1044,pay_RZP_5044,UTR_ICICI_9044,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
ORD_1046,pay_RZP_5046,UTR_ICICI_9046,MATCHED_EXACT,Stage 1: Deterministic Engine,0,1.0,"Exact primary key match across DB, PG, and Bank with fully verified fee arithmetic."
